"filename", "language", "TypeScript", "TypeScript JSX", "JavaScript", "PostCSS", "XML", "JSON", "JSON with Comments", "Markdown", "comment", "blank", "total"
"/home/fractiunate/DEV_UBUNTU/favicon-converter/website/lib/workspace.tsx", "TypeScript JSX", 0, 263, 0, 0, 0, 0, 0, 0, 47, 59, 369
"/home/fractiunate/DEV_UBUNTU/favicon-converter/website/lib/zen-mode.tsx", "TypeScript JSX", 0, 39, 0, 0, 0, 0, 0, 0, 2, 11, 52
"/home/fractiunate/DEV_UBUNTU/favicon-converter/website/next.config.ts", "TypeScript", 8, 0, 0, 0, 0, 0, 0, 0, 0, 3, 11
"/home/fractiunate/DEV_UBUNTU/favicon-converter/website/package-lock.json", "JSON", 0, 0, 0, 0, 0, 10945, 0, 0, 0, 1, 10946
"/home/fractiunate/DEV_UBUNTU/favicon-converter/website/package.json", "JSON", 0, 0, 0, 0, 0, 60, 0, 0, 0, 1, 61
"/home/fractiunate/DEV_UBUNTU/favicon-converter/website/postcss.config.mjs", "JavaScript", 0, 0, 6, 0, 0, 0, 0, 0, 0, 2, 8
"/home/fractiunate/DEV_UBUNTU/favicon-converter/website/public/file.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"/home/fractiunate/DEV_UBUNTU/favicon-converter/website/public/globe.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"/home/fractiunate/DEV_UBUNTU/favicon-converter/website/public/next.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"/home/fractiunate/DEV_UBUNTU/favicon-converter/website/public/vercel.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"/home/fractiunate/DEV_UBUNTU/favicon-converter/website/public/window.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"/home/fractiunate/DEV_UBUNTU/favicon-converter/website/services/cert/constants.ts", "TypeScript", 182, 0, 0, 0, 0, 0, 0, 0, 7, 12, 201
"/home/fractiunate/DEV_UBUNTU/favicon-converter/website/services/cert/generator.test.ts", "TypeScript", 369, 0, 0, 0, 0, 0, 0, 0, 7, 82, 458
"/home/fractiunate/DEV_UBUNTU/favicon-converter/website/services/cert/generator.ts", "TypeScript", 207, 0, 0, 0, 0, 0, 0, 0, 44, 31, 282
"/home/fractiunate/DEV_UBUNTU/favicon-converter/website/services/cert/index.ts", "TypeScript", 64, 0, 0, 0, 0, 0, 0, 0, 9, 6, 79
"/home/fractiunate/DEV_UBUNTU/favicon-converter/website/services/cert/types.ts", "TypeScript", 85, 0, 0, 0, 0, 0, 0, 0, 4, 16, 105
"/home/fractiunate/DEV_UBUNTU/favicon-converter/website/services/cert/utils.test.ts", "TypeScript", 262, 0, 0, 0, 0, 0, 0, 0, 10, 62, 334
"/home/fractiunate/DEV_UBUNTU/favicon-converter/website/services/cert/utils.ts", "TypeScript", 108, 0, 0, 0, 0, 0, 0, 0, 70, 18, 196
"/home/fractiunate/DEV_UBUNTU/favicon-converter/website/services/cert/validation.test.ts", "TypeScript", 355, 0, 0, 0, 0, 0, 0, 0, 8, 57, 420
"/home/fractiunate/DEV_UBUNTU/favicon-converter/website/services/cert/validation.ts", "TypeScript", 178, 0, 0, 0, 0, 0, 0, 0, 95, 56, 329
"/home/fractiunate/DEV_UBUNTU/favicon-converter/website/services/cidr/calculator.test.ts", "TypeScript", 183, 0, 0, 0, 0, 0, 0, 0, 3, 35, 221
"/home/fractiunate/DEV_UBUNTU/favicon-converter/website/services/cidr/calculator.ts", "TypeScript", 268, 0, 0, 0, 0, 0, 0, 0, 58, 63, 389
"/home/fractiunate/DEV_UBUNTU/favicon-converter/website/services/cidr/constants.ts", "TypeScript", 60, 0, 0, 0, 0, 0, 0, 0, 3, 10, 73
"/home/fractiunate/DEV_UBUNTU/favicon-converter/website/services/cidr/index.ts", "TypeScript", 5, 0, 0, 0, 0, 0, 0, 0, 1, 2, 8
"/home/fractiunate/DEV_UBUNTU/favicon-converter/website/services/cidr/types.ts", "TypeScript", 47, 0, 0, 0, 0, 0, 0, 0, 2, 8, 57
"/home/fractiunate/DEV_UBUNTU/favicon-converter/website/services/cidr/utils.test.ts", "TypeScript", 266, 0, 0, 0, 0, 0, 0, 0, 2, 42, 310
"/home/fractiunate/DEV_UBUNTU/favicon-converter/website/services/cidr/utils.ts", "TypeScript", 286, 0, 0, 0, 0, 0, 0, 0, 129, 53, 468
"/home/fractiunate/DEV_UBUNTU/favicon-converter/website/services/cidr/validation.test.ts", "TypeScript", 210, 0, 0, 0, 0, 0, 0, 0, 3, 38, 251
"/home/fractiunate/DEV_UBUNTU/favicon-converter/website/services/cidr/validation.ts", "TypeScript", 287, 0, 0, 0, 0, 0, 0, 0, 68, 77, 432
"/home/fractiunate/DEV_UBUNTU/favicon-converter/website/services/favicon/constants.test.ts", "TypeScript", 221, 0, 0, 0, 0, 0, 0, 0, 9, 51, 281
"/home/fractiunate/DEV_UBUNTU/favicon-converter/website/services/favicon/constants.ts", "TypeScript", 106, 0, 0, 0, 0, 0, 0, 0, 25, 9, 140
"/home/fractiunate/DEV_UBUNTU/favicon-converter/website/services/favicon/converter.ts", "TypeScript", 101, 0, 0, 0, 0, 0, 0, 0, 39, 18, 158
